Date,AAPL,GOOGL,MSFT,IEF,SHY,TLT,GLD,SLV,USO
2023-01-03,123.7684555053711,88.79810333251953,235.71173095703125,90.769775390625,76.06343841552734,94.55046844482422,171.05999755859375,22.049999237060547,67.63999938964844
2023-01-04,125.04503631591797,87.7618637084961,225.4009246826172,91.46560668945312,76.13834381103516,95.84578704833984,172.6699981689453,21.889999389648438,64.30000305175781
2023-01-05,123.71897888183594,85.88864135742188,218.72056579589844,91.33394622802734,76.03535461425781,96.24652862548828,170.52000427246094,21.389999389648438,64.77999877929688
2023-01-06,128.27110290527344,87.02452087402344,221.2982177734375,92.50936126708984,76.32559967041016,98.01713562011719,173.7100067138672,21.920000076293945,64.83000183105469
2023-01-09,128.79559326171875,87.70206451416016,223.45289611816406,92.74444580078125,76.4004898071289,98.53900146484375,174.10000610351562,21.739999771118164,65.87999725341797
2023-01-10,129.36956787109375,88.10063171386719,225.15496826171875,92.16144561767578,76.33494567871094,96.90817260742188,174.74000549316406,21.729999542236328,65.9000015258789
2023-01-11,132.10084533691406,91.1894302368164,231.96322631835938,92.75386810302734,76.4004898071289,98.48308563232422,174.6199951171875,21.549999237060547,68.05000305175781
2023-01-12,132.02166748046875,90.80083465576172,234.6589813232422,93.58132934570312,76.56903839111328,100.42142486572266,176.63999938964844,21.8799991607666,68.61000061035156
2023-01-13,133.35760498046875,91.78726959228516,235.36732482910156,93.08296203613281,76.43794250488281,99.48020935058594,178.75999450683594,22.329999923706055,70.05000305175781
2023-01-17,134.52532958984375,90.96025848388672,236.4692840576172,92.79143524169922,76.48478698730469,98.83721160888672,177.58999633789062,22.010000228881836,70.86000061035156
2023-01-18,133.80296325683594,90.79087829589844,232.0025634765625,94.051513671875,76.6532974243164,101.232177734375,177.0800018310547,21.56999969482422,69.51000213623047
2023-01-19,133.8623046875,92.71391296386719,228.18521118164062,93.87284088134766,76.63456726074219,100.5984878540039,179.88999938964844,21.959999084472656,70.58999633789062
2023-01-20,136.4352569580078,97.66594696044922,236.34136962890625,93.25221252441406,76.56903839111328,98.96768188476562,179.2899932861328,22.020000457763672,71.55000305175781
2023-01-23,139.64154052734375,99.4295654296875,238.6632537841797,92.9513168334961,76.49414825439453,98.501708984375,179.6300048828125,21.579999923706055,71.5
2023-01-24,141.04678344726562,97.34710693359375,238.13198852539062,93.4872817993164,76.5222396850586,99.918212890625,180.27999877929688,21.760000228881836,70.22000122070312
2023-01-25,140.3837432861328,94.87606811523438,236.72508239746094,93.59075927734375,76.56903839111328,100.16050720214844,181.11000061035156,21.969999313354492,70.51000213623047
2023-01-26,142.46189880371094,97.16775512695312,243.9957733154297,93.25221252441406,76.5222396850586,99.6945571899414,179.47000122070312,21.989999771118164,70.93000030517578
2023-01-27,144.411376953125,99.0110855102539,244.15316772460938,93.11119842529297,76.5222396850586,99.44293975830078,179.22000122070312,21.68000030517578,69.5
2023-01-30,141.51187133789062,96.58985137939453,238.79115295410156,92.8196792602539,76.44731903076172,99.07952117919922,178.75999450683594,21.65999984741211,68.0999984741211
2023-01-31,142.78842163085938,98.48298645019531,243.80882263183594,93.28983306884766,76.58776092529297,99.87162017822266,179.41000366210938,21.829999923706055,69.31999969482422
2023-02-01,143.91659545898438,100.06725311279297,248.66905212402344,93.96078491210938,76.7209701538086,101.07219696044922,181.6699981689453,22.079999923706055,67.36000061035156
2023-02-02,149.25051879882812,107.35084533691406,260.3277282714844,93.92308044433594,76.73033142089844,101.20298767089844,177.89999389648438,21.56999969482422,66.56999969482422
2023-02-03,152.89218139648438,104.40153503417969,254.17868041992188,92.91480255126953,76.44893646240234,99.68941497802734,173.4600067138672,20.56999969482422,64.4000015258789
2023-02-06,150.15103149414062,102.52832794189453,252.6241455078125,92.11381530761719,76.2331771850586,98.95133209228516,173.82000732421875,20.479999542236328,65.5
2023-02-07,153.04061889648438,107.25120544433594,263.2399597167969,91.88763427734375,76.27069854736328,98.15718078613281,173.97999572753906,20.3799991607666,67.76000213623047
2023-02-08,150.3390350341797,99.0110855102539,262.42333984375,92.22686004638672,76.2988510131836,98.62431335449219,174.41000366210938,20.479999542236328,68.68000030517578
2023-02-09,149.29995727539062,94.66682434082031,259.36358642578125,91.81226348876953,76.24256134033203,97.69001770019531,173.02999877929688,20.18000030517578,67.91999816894531
2023-02-10,149.6667022705078,94.2284164428711,258.8519287109375,91.3693618774414,76.20503997802734,96.5969009399414,173.36000061035156,20.239999771118164,69.87000274658203
2023-02-13,152.4814453125,94.26827239990234,266.9392395019531,91.58607482910156,76.22380828857422,97.40973663330078,172.47999572753906,20.200000762939453,69.5
2023-02-14,151.8372039794922,94.33802032470703,267.7755126953125,91.17147064208984,76.06434631347656,97.18549346923828,172.61000061035156,20.1200008392334,69.4000015258789
2023-02-15,153.94825744628906,96.58985137939453,265.6351623535156,90.89817810058594,76.07373046875,96.27924346923828,170.88999938964844,19.889999389648438,69.0199966430664
2023-02-16,152.34266662597656,95.1650161743164,258.5632629394531,90.59661865234375,76.08312225341797,94.9151611328125,170.75,19.84000015258789,68.44999694824219
2023-02-17,151.1929931640625,94.00920867919922,254.52926635742188,90.85104370117188,76.14875793457031,95.65327453613281,171.25999450683594,20.010000228881836,67.0199966430664
2023-02-21,147.1591796875,91.45845794677734,249.21299743652344,89.86160278320312,75.99868774414062,93.79400634765625,170.6199951171875,20.06999969482422,66.69000244140625
2023-02-22,147.58538818359375,91.31896209716797,248.06886291503906,90.02182006835938,76.03620910644531,94.65357971191406,169.66000366210938,19.75,64.91999816894531
2023-02-23,148.0709991455078,90.56170654296875,251.28427124023438,90.37046813964844,76.08312225341797,95.57854461669922,169.57000732421875,19.6299991607666,66.37999725341797
2023-02-24,145.4049530029297,88.80805969238281,245.81021118164062,89.82392120361328,75.92364501953125,94.33590698242188,168.35000610351562,19.09000015258789,67.0999984741211
2023-02-27,146.6041717529297,89.54539489746094,246.73733520507812,90.09719848632812,75.98929595947266,94.59749603271484,169.00999450683594,18.93000030517578,66.25
2023-02-28,146.0987091064453,89.73470306396484,246.0074462890625,90.23854064941406,75.97054290771484,95.02728271484375,169.77999877929688,19.219999313354492,67.20999908447266
2023-03-01,144.01736450195312,90.03362274169922,242.9005584716797,89.51712799072266,75.8314208984375,94.00638580322266,170.75999450683594,19.290000915527344,68.06999969482422
